"cces_year","topic","q_code_common","q_code","q_label"
2006,NA,"case_id","v1000","Respondent ID"
2006,"environment","enviro_scale","v2092","Opposition scale to climate change (1 = serious problem, 5 = not occuring)"
2006,"other","gaymarriage_scale","v2103","Opposition scale to gay marriage (1=Strongly support, 4=Strongly oppose)"
2006,"abortion","abortion_scale","v3019","Support scale for access to abortion (1 = Never permit, 4 = Always allow)"
2006,"environment","enviro_vs_jobs","v3022","Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)"
2006,"other","affirmativeaction_scale","v3027","Opposition scale to affirmative action (1 = Strongly support, 7 = Strongly oppose)"
2006,"military","military_oil","v3029","Approve of military ensuring oil supply"
2006,"military","military_terroristcamp","v3030","Approve of military to destroy terrorist camp"
2006,"military","military_genocide","v3031","Approve of military to intervene in genocide or civil war"
2006,"military","military_democracy","v3032","Approve of military to assist in spread democracy"
2006,"military","military_protectallies","v3033","Approve of military to protect US allies under attack"
2006,"military","military_helpun","v3034","Approve of military to help the United Nations uphold international law"
2006,"spending","spending_vs_tax","v4040","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)"
2006,"other","incometax_vs_salestax","v4042","Preference scale from 0 (increase income tax) to 100 (increase sales tax)"
2006,"spending","spending_cuts_most","v4044","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)"
2006,"spending","spending_cuts_least","v4046","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)"
2006,"immigration","immig_legalize",NA,"Grant conditional legal status to undocumented"
2006,"immigration","immig_border",NA,"Increase border security between US-Mexico"
2006,"immigration","immig_police",NA,"Allow police questioning of suspected undocumented"
2006,"immigration","immig_employer",NA,"Sanction employers hiring undocumented"
2006,"immigration","immig_services",NA,"Prohibit services to immigrants"
2006,"immigration","immig_deport",NA,"Identify and deport illegal immigrants"
2006,"immigration","immig_report",NA,"Withhold funding from police failing to report illegal immigrants"
2006,"immigration","immig_reduce",NA,"Reduce legal immigration by 50 percent"
2006,"immigration","immig_wall",NA,"Increase spending on border security, including building a wall"
2006,"abortion","abortion_always",NA,"Always allow abortion"
2006,"abortion","abortion_conditional",NA,"Allow abortion only under certain cases"
2006,"abortion","abortion_20weeks",NA,"Ban abortion after 20 weeks"
2006,"abortion","abortion_coverage",NA,"Employer coverage of abortion"
2006,"abortion","abortion_expenditures",NA,"Prohibit expenditures for abortion"
2006,"abortion","abortion_prohibition",NA,"Total prohibition of abortion"
2006,"environment","enviro_carbon",NA,"Allow EPA to regulate carbon dioxide emissions"
2006,"environment","enviro_mpg_raise",NA,"Raise average fuel efficiency"
2006,"environment","enviro_mpg_lower",NA,"Lower average fuel efficiency"
2006,"environment","enviro_renewable",NA,"Require states use a minimum amount of renewable fuels"
2006,"environment","enviro_airwateracts",NA,"Strengthen EPA enforcement of Clean Air and Water acts"
2006,"guns","guns_scale",NA,"Restriction scale on gun sales (1 = More strict, 2 = Less strict, 3 = Same)"
2006,"guns","guns_bgchecks",NA,"Background checks for guns for all sales"
2006,"guns","guns_names",NA,"Prohibit state and local publishing gun owner names"
2006,"guns","guns_assaultban",NA,"Ban assault rifles"
2006,"guns","guns_permits",NA,"Ease ability to obtain concealed-carry permits"
2006,"spending","spending_welfare",NA,"Spending preferences on welfare (1 = Increase, 3 = Maintain, 5 = Decrease)"
2006,"spending","spending_healthcare",NA,"Spending preferences on health care (1 = Increase, 3 = Maintain, 5 = Decrease)"
2006,"spending","spending_education",NA,"Spending preferences on education (1 = Increase, 3 = Maintain, 5 = Decrease)"
2006,"spending","spending_police",NA,"Spending preferences on law enforcement (1 = Increase, 3 = Maintain, 5 = Decrease)"
2006,"spending","spending_infrastructure",NA,"Spending preferences on transportation/infrastructure (1 = Increase, 3 = Maintain, 5 = Decrease)"
2006,"other","gaymarriage_ban",NA,"Amendment banning gay marriage"
2006,"other","gaymarriage_legalize",NA,"Support for legalizing gay marriage"
2006,"other","affirmativeaction",NA,"Opposition to affirmative action (1 = Support, 4 = Oppose)"
2006,"health care","healthcare_aca",NA,"Repeal the Affordable Care Act"
2006,"health care","healthcare_acamandate",NA,"Restore ACA mandate requiring everyone to be insured"
2006,"health care","healthcare_medicare",NA,"Provide Medicare for all Americans"
2006,"health care","healthcare_medicareage",NA,"Lower the eligibility age for Medicare from 65 to 50"
2006,"trade","trade_china",NA,"Tariffs on goods imported from China"
2006,"trade","trade_canmex_except",NA,"Tariffs on steel and aluminum EXCEPT from Canada and Mexico"
2006,"trade","trade_canmex_include",NA,"Tariffs on steel and aluminum INCLUDING from Canada and Mexico"
2007,NA,"case_id","caseid","Respondent ID"
2007,"environment","enviro_scale","CC06_V2092","Opposition scale to climate change (1 = serious problem, 5 = not occuring)"
2007,"other","gaymarriage_scale","CC06_V2103","Opposition scale to gay marriage (1=Strongly support, 4=Strongly oppose)"
2007,"abortion","abortion_scale","CC06_V3019","Support scale for access to abortion (1 = Never permit, 4 = Always allow)"
2007,"environment","enviro_vs_jobs","CC06_V3022","Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)"
2007,"other","affirmativeaction_scale","CC06_V3027","Opposition scale to affirmative action (1 = Strongly support, 7 = Strongly oppose)"
2007,"military","military_oil","CC06_V3029","Approve of military ensuring oil supply"
2007,"military","military_terroristcamp","CC06_V3030","Approve of military to destroy terrorist camp"
2007,"military","military_genocide","CC06_V3031","Approve of military to intervene in genocide or civil war"
2007,"military","military_democracy","CC06_V3032","Approve of military to assist in spread democracy"
2007,"military","military_protectallies","CC06_V3033","Approve of military to protect US allies under attack"
2007,"military","military_helpun","CC06_V3034","Approve of military to help the United Nations uphold international law"
2007,"spending","spending_vs_tax","CC06_V4040","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)"
2007,"other","incometax_vs_salestax","CC06_V4042","Preference scale from 0 (increase income tax) to 100 (increase sales tax)"
2007,"spending","spending_cuts_most","CC06_V4044","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)"
2007,"spending","spending_cuts_least","CC06_V4046","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)"
2007,"immigration","immig_employer","CC12x_1","Sanction employers hiring undocumented"
2007,"immigration","immig_legalize","CC12x_2","Grant conditional legal status to undocumented"
2007,"immigration","immig_border","CC12x_4","Increase border security between US-Mexico"
2007,"immigration","immig_police",NA,"Allow police questioning of suspected undocumented"
2007,"immigration","immig_services",NA,"Prohibit services to immigrants"
2007,"immigration","immig_deport",NA,"Identify and deport illegal immigrants"
