"cces_year","topic","q_code_common","q_code","q_label","wording"
2006,NA,"case_id","v1000","Respondent ID","Case ID"
2006,"environment","enviro_scale","v2092","Opposition scale to climate change (1 = serious problem, 5 = not occuring)","From what you know about global climate change or global warming, which one of the following statements comes closest to your opinion? [1 Global climate change has been established as a serious problem, and immediate action is necessary. 2 There is enough evidence that climate change is taking place and some action should be taken. 3 We don't know enough about global climate change, and more research is necessary before we take any actions. 4 Concern about global climate change is unwarranted.]"
2006,"miscellaneous","gaymarriage_scale","v2103","Opposition scale to gay marriage (1=Strongly support, 4=Strongly oppose)","President Bush recently spoke out in favor of a Constitutional Amendment defining marriage as strictly between a man and a woman. Do you support or oppose a Constitutional amendment banning gay marriage?"
2006,"abortion","abortion_scale","v3019","Support scale for access to abortion (1 = Never permit, 4 = Always allow)","There has been some discussion about abortion during recent years.  Which one of the opinions on this page best agrees with your view on this issue? [1 By law, abortion should never be permitted, 2 The law should permit abortion only in case of rape, incest or when the woman's life is in danger, 3 The law should permit abortion for reasons other than rape, incest, or danger to the woman's  life, but only after the need for the abortion has been clearly established, 4 By law, a woman should always be able to  obtain an abortion as a matter of personal choice]"
2006,"environment","enviro_vs_jobs","v3022","Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)","Some people think it is important to protect the environment even if it costs some jobs or otherwise reduces our standard of living. Other people think that protecting the environment is not as important as maintaining jobs and our standard of living.  Which is closer to the way you feel, or haven't you thought much about this?"
2006,"miscellaneous","affirmativeaction_scale","v3027","Opposition scale to affirmative action (1 = Strongly support, 7 = Strongly oppose)","Some people think that if a company has a history of discriminating against blacks when making hiring decisions, then they should be required to have an affirmative action program that gives blacks preference in hiring.    What do you think? Should companies that have discriminated against blacks have to have an affirmative action program?"
2006,"military","military_oil","v3029","Approve of military ensuring oil supply","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Military use to ensure the supply of oil"
2006,"military","military_terroristcamp","v3030","Approve of military to destroy terrorist camp","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Military use to destroy a Terrorist camp"
2006,"military","military_genocide","v3031","Approve of military to intervene in genocide or civil war","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Military use to intervene in Genocide or Civil War"
2006,"military","military_democracy","v3032","Approve of military to assist in spread democracy","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Military use to Spread democracy"
2006,"military","military_protectallies","v3033","Approve of military to protect US allies under attack","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Military use to Protect American Allies"
2006,"military","military_helpun","v3034","Approve of military to help the United Nations uphold international law","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Military use to Help the United Nations"
2006,"spending","spending_vs_tax","v4040","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)","If your state were to have a budget deficit this year it would have to raise taxes on income or sales or cut spending, such as on education, health care, welfare, and road construction. What would you prefer more raising taxes or cutting spending? Choose a point along the scale from 100 percent tax increases (and no spending cuts) to 100 percent spending cuts (and 0 percent no tax increases). The point in the middle means that any the budget should be balanced with equal amounts of spending cuts and tax increases.  If you are not sure, or don't know, please check here: [dk]"
2006,"miscellaneous","incometax_vs_salestax","v4042","Preference scale from 0 (increase income tax) to 100 (increase sales tax)","If the state had to raise taxes, which taxes should it increase? Suppose that your state government has to raise some combination of sales taxes and individual income taxes in the coming year. What share of the tax increase should come from increased income taxes and what share from increased sales taxes? Choose a point along the scale from 100 percent from sales (and none from income) to 100 percent from income (and none from sales). The point in the middle means that any increase in taxes should come equally from sales and income taxes.  If you are not sure, or don't know, please check here: [dk]"
2006,"spending","spending_cuts_most","v4044","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","What would you most prefer that Congress do - cut domestic spending, cut military spending, raise taxes, or borrow funds?"
2006,"spending","spending_cuts_least","v4046","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","What do you least want Congress to do?"
2007,NA,"case_id","caseid","Respondent ID","Case ID"
2007,"environment","enviro_scale","CC06_V2092","Opposition scale to climate change (1 = serious problem, 5 = not occuring)","From what you know about global climate change or global warming, which one of the following statements comes closest to your opinion? [1 Immediate action, 2 Some action, 3 More research, 4 Concern unwarranted]"
2007,"miscellaneous","gaymarriage_scale","CC06_V2103","Opposition scale to gay marriage (1=Strongly support, 4=Strongly oppose)","President Bush recently spoke out in favor of a Constitutional Amendment defining marriage as strictly between a man and a woman. Do you support or oppose a Constitutional amendment banning gay marriage?"
2007,"abortion","abortion_scale","CC06_V3019","Support scale for access to abortion (1 = Never permit, 4 = Always allow)","There has been some discussion about abortion during recent years. Which one of the opinions on this page best agrees with your view on this issue? [1 By law, abortion should never be permitted, 2 The law should permit abortion only in case of rape, incest, 3 The law should permit abortion for reasons other than rape, 4 By law, a woman should always be able to obtain an abortion]"
2007,"environment","enviro_vs_jobs","CC06_V3022","Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)","Some people think it is important to protect the environment even if it costs some jobs or otherwise reduces our standard of living. Other people think that protecting the environment is not as important as maintaining jobs and our standard of living. Which is closer to the way you feel, or haven't you thought much about this?"
2007,"miscellaneous","affirmativeaction_scale","CC06_V3027","Opposition scale to affirmative action (1 = Strongly support, 7 = Strongly oppose)","Some people think that if a company has a history of discriminating against blacks when making hiring decisions, then they should be required to have an affirmative action program that gives blacks preference in hiring. What do you think? Should companies that have discriminated against blacks have to have an affirmative action program?"
2007,"military","military_oil","CC06_V3029","Approve of military ensuring oil supply","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: To nsure the supply of oil"
2007,"military","military_terroristcamp","CC06_V3030","Approve of military to destroy terrorist camp","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Destroy a terrorist camp"
2007,"military","military_genocide","CC06_V3031","Approve of military to intervene in genocide or civil war","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Intervene in a region where there is genocide or a civil war"
2007,"military","military_democracy","CC06_V3032","Approve of military to assist in spread democracy","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Spread of democracy"
2007,"military","military_protectallies","CC06_V3033","Approve of military to protect US allies under attack","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: Protect American allies"
2007,"military","military_helpun","CC06_V3034","Approve of military to help the United Nations uphold international law","For each of the following reasons, would you approve of the use of U.S. military troops? Please check all that apply: To help the United Nations uphold international law"
2007,"spending","spending_vs_tax","CC06_V4040","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)","If your state were to have a budget deficit this year it would have to raise taxes on income or sales or cut spending, such as on education, health care, welfare, and road construction. What would you prefer more raising taxes or cutting spending? Choose a point along the scale from 100 percent tax increases (and no spending cuts) to 100 percent spending cuts (and 0 percent no tax increases). The point in the middle means that any the budget should be balanced with equal amounts of spending cuts and tax increases."
2007,"miscellaneous","incometax_vs_salestax","CC06_V4042","Preference scale from 0 (increase income tax) to 100 (increase sales tax)","If the state had to raise taxes, which taxes should it increase? Suppose that your state government has to raise some combination of sales taxes and individual income taxes in the coming year. What share of the tax increase should come from increased income taxes and what share from increased sales taxes? Choose a point along the scale from 100 percent from sales (and none from income) to 100 percent from income (and none from sales). The point in the middle means that any increase in taxes should come equally from sales and income taxes."
2007,"spending","spending_cuts_most","CC06_V4044","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","What would you most prefer that Congress do - cut domestic spending, cut military spending, raise taxes, or borrow funds?"
2007,"spending","spending_cuts_least","CC06_V4046","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","Should Congress cut spending, raise taxes, or borrow... What do you least want Congress to do?"
